Depth (%),P_value,q_fdr
0,1.61e-05,0.00016099999999999998
10,7.32e-05,0.000366
20,0.000544709,0.001179988
30,0.002280422,0.002533802222222222
40,0.000589994,0.001179988
50,0.000287168,0.0009572266666666668
60,0.001127251,0.0018160857142857144
70,0.00127126,0.0018160857142857144
80,0.001656538,0.0020706724999999997
90,0.004161198,0.004161198
