,PC1_loading,PC2_loading
Density of PSD-95 (10% Depth),0.43978370742700285,0.14245525903577932
Density of gephyrin (10% Depth),-0.3644517270063831,0.12093767640082274
YM Alternation Rate,-0.46628283020697026,-0.19633701743293308
YM Re-entry Ratio,0.5009348402053275,0.20228063941069893
SI Time with stranger,-0.4006874969982432,0.18890853517601594
OF Total Distance,-0.03365522007739413,-0.5445693026867491
OF Center Region,0.1754616358232558,-0.5628254374275259
EPM Open Arm Time,0.11375371533061117,-0.48641573062391025
