Behavior,Synapse_Bin,r,p_raw,q_fdr,significant,sig_mark
YM Alternation Rate,PSD_num_10-20,-0.5750033375012795,0.00511908303678852,0.03071449822073112,True,*
YM Alternation Rate,gephyrin_num_10-20,0.26217550813128093,0.23852165161302516,0.4088942599080431,False,
YM Re-entry Ratio,PSD_num_10-20,0.6474897345959805,0.0011232794634018313,0.013479353560821975,True,*
YM Re-entry Ratio,gephyrin_num_10-20,-0.4440194471587603,0.03844004818467736,0.15376019273870944,False,
SI Time with stranger,PSD_num_10-20,-0.36978809240123633,0.09029080403344825,0.2166979296802758,False,
SI Time with stranger,gephyrin_num_10-20,0.40915200524480977,0.05865078663239741,0.17595235989719224,False,
OF Total Distance,PSD_num_10-20,-0.1520522284397419,0.49935659449179537,0.6658087926557271,False,
OF Total Distance,gephyrin_num_10-20,0.02642959664639741,0.9070585066755554,0.9428489003687728,False,
OF Center Region,PSD_num_10-20,-0.016230769303026183,0.9428489003687728,0.9428489003687728,False,
OF Center Region,gephyrin_num_10-20,-0.2288257900062674,0.3056886895002664,0.4585330342503996,False,
EPM Open Arm Time,PSD_num_10-20,0.07369321704405468,0.7444856968342235,0.8933828362010682,False,
EPM Open Arm Time,gephyrin_num_10-20,-0.3197130890789839,0.14693487588556936,0.2938697517711387,False,
