MouseID,Behavior,Exc_density,Depth,Inh_density
15,21.46,86.61619792,90,20.62057292
16,16.79,208.3627431,0,66.73506944
16,16.79,187.1190972,10,51.95243056
16,16.79,179.3405556,20,41.35909722
16,16.79,176.1620139,30,40.37829861
16,16.79,170.8588889,40,36.62888889
16,16.79,162.4901736,50,33.35072917
16,16.79,152.5057639,60,30.0090625
16,16.79,151.1181597,70,34.87763889
16,16.79,128.6097569,80,28.21739583
16,16.79,116.3199653,90,23.85135417
17,10.96,196.8291667,0,54.87090278
17,10.96,184.3588194,10,36.95934028
17,10.96,174.9195833,20,33.12763889
17,10.96,161.1799306,30,33.3828125
17,10.96,159.1748611,40,30.69538194
17,10.96,157.0860069,50,31.06739583
17,10.96,146.5976389,60,30.27368056
17,10.96,135.5185764,70,29.95520833
17,10.96,130.8780556,80,27.70013889
17,10.96,126.7409028,90,28.15638889
18,12.17,163.14125,0,59.95607639
18,12.17,162.5805208,10,45.17777778
18,12.17,148.5062847,20,40.19006944
18,12.17,143.6010069,30,41.12982639
18,12.17,132.7052431,40,40.181875
18,12.17,131.7991319,50,40.10010417
18,12.17,123.5296528,60,38.38524306
18,12.17,121.5861458,70,37.29013889
18,12.17,121.0788542,80,37.36048611
18,12.17,119.7272569,90,37.97423611
19,17.62,166.9508594,0,65.59752604
19,17.62,151.7885677,10,51.3703125
19,17.62,152.434974,20,46.05744792
19,17.62,136.552474,30,43.24052083
19,17.62,135.9110677,40,43.43869792
19,17.62,125.288151,50,40.97528646
19,17.62,124.4608854,60,40.73270833
19,17.62,114.7704687,70,38.21140625
19,17.62,115.7911719,80,36.19033854
19,17.62,104.7582292,90,35.38658854
20,12.12,166.9597917,0,59.47197917
20,12.12,160.1729167,10,47.72401042
20,12.12,152.6572396,20,47.04760417
20,12.12,141.2254167,30,43.22901042
20,12.12,132.2285417,40,43.21125
20,12.12,126.9245313,50,41.68760417
20,12.12,123.1917708,60,38.0025
20,12.12,122.5077604,70,39.21994792
20,12.12,112.6690625,80,37.54776042
20,12.12,109.5091146,90,37.83755208
21,11.04,159.0915625,0,57.73609375
21,11.04,154.2957813,10,39.28088542
21,11.04,142.3847396,20,38.41817708
21,11.04,137.8982292,30,35.04692708
21,11.04,131.3417188,40,34.13994792
21,11.04,121.5078646,50,31.6959375
21,11.04,117.1759896,60,31.09375
21,11.04,117.3301042,70,31.68828125
21,11.04,111.52875,80,31.10447917
21,11.04,102.7631771,90,31.59869792
22,15.21,178.5746875,0,58.99625
22,15.21,170.7736458,10,51.28041667
22,15.21,160.5442708,20,43.13145833
22,15.21,153.9457292,30,38.94635417
22,15.21,144.0690625,40,35.22625
22,15.21,137.8158333,50,39.84041667
22,15.21,132.2633333,60,37.913125
22,15.21,123.1409375,70,36.02802083
22,15.21,118.2341667,80,39.09072917
22,15.21,116.6780208,90,31.92177083
