Model,Accuracy_Mean,Accuracy_SD,ROC_AUC_Mean,ROC_AUC_SD
Logistic Regression,0.96,0.07999999999999999,1.0,0.0
SVM (RBF Kernel),0.95,0.09999999999999999,1.0,0.0
