Feature,LDA_Coefficient
Density of PSD-95 (10% Depth),-6.559283937437098
Density of gephyrin (10% Depth),7.835174683447355
YM Alternation Rate,2.3076610001720623
YM Re-entry Ratio,5.350829684984893
SI Time with stranger,0.46338140924566856
OF Total Distance,0.7825303340836124
OF Center Region,-5.530177769234195
EPM Open Arm Time,0.9822045532978471
