Feature,Delta,Lower,Upper
SI Time with stranger,-1.0,-1.0,-1.0
YM Alternation Rate,-0.7777777777777778,-1.0,-0.3333333333333333
OF Total Distance,0.1111111111111111,-0.7777777777777778,0.7777777777777778
Density of gephyrin (10% Depth),0.4444444444444444,-0.5555555555555556,1.0
EPM Open Arm Time,0.4444444444444444,-0.3333333333333333,1.0
Density of PSD-95 (10% Depth),0.5555555555555556,-0.3333333333333333,1.0
OF Center Region,0.6666666666666666,-0.1111111111111111,1.0
YM Re-entry Ratio,0.7777777777777778,0.3333333333333333,1.0
