,,dist,ci_low,ci_high,p
WT Control,WT Exercise,3.7669078979408996,2.7013895603015605,5.16940720736081,0.51
VPA Control,VPA Exercise,1.8316695453339333,1.1090074164077448,2.8660268466897727,0.572
