A,B,pval,Group1,Group2,Hedges' g
VPA_(+),VPA_(-),0.20052588986842435,VPA_(+),VPA_(-),1.7595385869064601
VPA_(+),WT_(+),0.861230358802946,VPA_(+),WT_(+),0.5074913392642838
VPA_(+),WT_(-),0.26950348228385335,VPA_(+),WT_(-),2.486447283727417
VPA_(-),WT_(+),0.10440135955460594,VPA_(-),WT_(+),-1.3336526471398198
VPA_(-),WT_(-),0.8935817076756088,VPA_(-),WT_(-),-0.2890941073006538
WT_(+),WT_(-),0.18421654342953753,WT_(+),WT_(-),2.049259275459103
