A,B,pval,Group1,Group2,Hedges' g
VPA_(+),VPA_(-),0.9952604601258351,VPA_(+),VPA_(-),0.10163103795953729
VPA_(+),WT_(+),0.994591930566156,VPA_(+),WT_(+),-0.1523401183488636
VPA_(+),WT_(-),0.9450098283188771,VPA_(+),WT_(-),0.2496549617052687
VPA_(-),WT_(+),0.9449737914616458,VPA_(-),WT_(+),-0.1902987137519325
VPA_(-),WT_(-),0.9885090503344387,VPA_(-),WT_(-),0.1305216576081588
WT_(+),WT_(-),0.7563304444446517,WT_(+),WT_(-),0.3500964784656493
