A,B,pval,Group1,Group2,Hedges' g
VPA_(+),VPA_(-),0.9999997321327353,VPA_(+),VPA_(-),-0.006319328596728436
VPA_(+),WT_(+),0.3362836164546371,VPA_(+),WT_(+),-1.2792856649938857
VPA_(+),WT_(-),0.6985631176253285,VPA_(+),WT_(-),0.8234972355000915
VPA_(-),WT_(+),0.2141145109333561,VPA_(-),WT_(+),-1.9037148533632635
VPA_(-),WT_(-),0.13760647034083107,VPA_(-),WT_(-),0.9336044414356428
WT_(+),WT_(-),0.09047680057516949,WT_(+),WT_(-),2.6564163019901623
