,PC1_loading,PC2_loading
Density of PSD-95 (10% Depth),0.3694868802237931,0.12521530748611845
Density of gephyrin (10% Depth),-0.27718837377258226,-0.2461182966750226
YM Alternation Rate,-0.49105374625968895,-0.053940700450859067
YM Re-entry Ratio,0.5062286638378646,0.26776046918076657
SI Time with stranger,-0.4139169120161124,-0.02679231410925365
OF Total Distance,0.07510236727120832,-0.5571686957251519
OF Center Region,0.2584909651409702,-0.5631113026846326
EPM Open Arm Time,0.21321269732089457,-0.46999204247447585
