PC1,PC2,Group,MouseID
1.6387650925357777,0.1496444388497724,VPA Control,1
2.424157573025433,-1.435264316544377,VPA Control,2
1.7729565981953883,0.3363926032391973,VPA Control,3
4.568405063991821,2.2873398805110483,VPA Control,4
-0.5466016280798324,3.356889880945457,WT Control,5
-0.1827450704224699,1.8025846306278768,WT Control,6
-1.2080265000445887,-0.11791165571560296,WT Control,7
-1.682215381965197,2.762737991652832,WT Control,8
0.9279067795077446,-1.8106876343435205,VPA Control,9
-0.9939373620093737,-0.9166003867047409,VPA Control,10
-0.0751245904969078,-0.9931195888475183,VPA Control,11
1.7078105802064314,-0.2356600775527071,VPA Control,12
-2.2664000362272283,1.351717866226125,WT Control,13
-0.40909018490927646,0.36080875117490296,WT Control,14
0.6961643608258153,-3.267942247344123,VPA Control,15
0.9163293817995787,-1.0060124046927283,VPA Control,16
0.2805572354432304,0.5055574137399224,VPA Control,17
-1.891758366419695,-0.28926150589849675,WT Control,18
-1.5628895067992419,-1.095736638566712,WT Control,19
-2.73634360651564,-0.6423702132031684,WT Control,20
0.1139706637844443,0.347152992925069,WT Control,21
-1.491891095426212,-1.4502597804785051,WT Control,22
-0.6354318248679668,-0.6528773368569164,VPA Exercise,23
-0.1956267160276804,-1.2641067698418313,VPA Exercise,24
0.7611584418425504,-2.4717477057904977,VPA Exercise,25
0.8062581354545455,-1.2441486401923378,WT Exercise,26
0.8160230424585215,-4.3188484539590855,WT Exercise,27
0.41238093457831887,-2.541039067816631,WT Exercise,28
