A,B,pval,Group1,Group2,Hedges' g
VPA_(+),VPA_(-),0.5677837426488948,VPA_(+),VPA_(-),0.9777630467747853
VPA_(+),WT_(+),0.9260866591090647,VPA_(+),WT_(+),0.3877612602279385
VPA_(+),WT_(-),0.7265541666054687,VPA_(+),WT_(-),1.011958218173688
VPA_(-),WT_(+),0.22553450743336712,VPA_(-),WT_(+),-0.6776247442409807
VPA_(-),WT_(-),0.8240923007174265,VPA_(-),WT_(-),-0.35356215710703004
WT_(+),WT_(-),0.3655438255206087,WT_(+),WT_(-),0.63249654634137
