Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\psota\Downloads\250515_Ichinose.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,C„„,C„„ Mean,C„„ SD,ƒ¢C„„,ƒ¢C„„ Mean,ƒ¢C„„ SE,HK Control ƒ¢C„„ Mean,HK Control ƒ¢C„„ SE,ƒ¢ƒ¢C„„,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,EXPFAIL
A11,VPA4,Nlgn2,UNKNOWN,SYBR,None,1.245914817,0.97482425,1.592393398,29.87974167,29.89201927,0.017902605,,3.265077591,0.12749806,,,-0.317205429,TRUE,0.415846221,TRUE,3,23,1,85.42263794,,,,N
A12,VPA4,Nlgn2,UNKNOWN,SYBR,None,1.245914817,0.97482425,1.592393398,29.88375092,29.89201927,0.017902605,,3.265077591,0.12749806,,,-0.317205429,TRUE,0.415846221,TRUE,3,23,1,85.42263794,,,,N
B1,WT2,Actb,UNKNOWN,SYBR,None,,,,29.2570076,29.22840881,0.048055548,,,,,,,TRUE,0.407050961,TRUE,3,22,1,84.37879944,,,,N
B2,WT2,Actb,UNKNOWN,SYBR,None,,,,29.17292976,29.22840881,0.048055548,,,,,,,TRUE,0.407050961,TRUE,3,22,1,84.22969055,,,,N
B3,WT2,Actb,UNKNOWN,SYBR,None,,,,29.2552948,29.22840881,0.048055548,,,,,,,TRUE,0.407050961,TRUE,3,23,1,84.37782288,,,,N
B4,WT2,Dlg4,UNKNOWN,SYBR,None,1.372214556,1.253815055,1.501794696,30.53907013,30.56776428,0.06546808,,1.339352965,0.046887826,,,-0.456506103,TRUE,0.359166173,TRUE,3,24,1,85.27241516,,,,N
B5,WT2,Dlg4,UNKNOWN,SYBR,None,1.372214556,1.253815055,1.501794696,30.5215416,30.56776428,0.06546808,,1.339352965,0.046887826,,,-0.456506103,TRUE,0.359166173,TRUE,3,24,1,85.12919617,,,,N
B6,WT2,Dlg4,UNKNOWN,SYBR,None,1.372214556,1.253815055,1.501794696,30.64267921,30.56776428,0.06546808,,1.339352965,0.046887826,,,-0.456506103,TRUE,0.359166173,TRUE,3,24,1,85.12919617,,,,N
B7,WT2,Nlgn2,UNKNOWN,SYBR,None,1.052760601,0.889227629,1.246368051,32.76148987,32.73651505,0.144137502,,3.508105516,0.087721065,,,-0.074177422,TRUE,0.415846221,TRUE,3,26,1,85.42133331,,,,N
B8,WT2,Nlgn2,UNKNOWN,SYBR,None,1.052760601,0.889227629,1.246368051,32.5815239,32.73651505,0.144137502,,3.508105516,0.087721065,,,-0.074177422,TRUE,0.415846221,TRUE,3,26,1,85.42133331,,,,N
