Depth (%),P_value,q_fdr
0,0.000934009,0.000934009
10,1.2e-05,1.4555555555555554e-05
20,8.49e-07,2.675e-06
30,1.31e-05,1.4555555555555554e-05
40,3.23e-06,4.614285714285715e-06
50,1.07e-06,2.675e-06
60,9.33e-07,2.675e-06
70,2.54e-06,4.233333333333333e-06
80,8.06e-07,2.675e-06
90,2.21e-06,4.233333333333333e-06
