Depth (%),P_value,q_fdr
0,0.280613319,0.4008761700000001
10,0.008808049,0.08108536499999999
20,0.016217073,0.08108536499999999
30,0.071038129,0.23679376333333335
40,0.12801704,0.25603408
50,0.111687945,0.25603408
60,0.270511673,0.4008761700000001
70,0.456111658,0.5701395724999999
80,0.759147491,0.759147491
90,0.599697189,0.66633021
