Depth (%),P_value,q_fdr
0,0.005448383,0.005448383
10,0.000124314,0.00013812666666666664
20,7.67e-06,1.4483333333333334e-05
30,3.29e-05,4.1125e-05
40,8.69e-06,1.4483333333333334e-05
50,2.86e-06,7.15e-06
60,7.78e-07,3.89e-06
70,1.33e-05,1.9e-05
80,7.45e-07,3.89e-06
90,1.93e-06,6.433333333333334e-06
