Depth (%),P_value,q_fdr
0,0.150496878,0.25082813000000004
10,0.125468427,0.25082813000000004
20,0.02485071,0.20859401749999998
30,0.053087234,0.20859401749999998
40,0.083437607,0.20859401749999998
50,0.065906622,0.20859401749999998
60,0.212207619,0.30315374142857143
70,0.458387977,0.5729849712499999
80,0.637523094,0.7083589933333333
90,0.832149601,0.832149601
