ID,region,X,Y,XM,YM,BX,BY,Width,Height
12,dorsal,314,66,314,66,314,66,1,1
12,ventral,242,871,242,871,242,871,1,1
11,dorsal,260,91,260,91,260,91,1,1
11,ventral,232,764,232,764,232,764,1,1
10,dorsal,200,45,200,45,200,45,1,1
10,ventral,171,862,171,862,171,862,1,1
9,dorsal,202,144,202,144,202,144,1,1
9,ventral,217,854,217,854,217,854,1,1
8,dorsal,231,108,231,108,231,108,1,1
8,ventral,227,780,227,780,227,780,1,1
7,dorsal,189,147,189,147,189,147,1,1
7,ventral,193,789,193,789,193,789,1,1
6,dorsal,161,154,161,154,161,154,1,1
6,ventral,178,864,178,864,178,864,1,1
5,dorsal,202,90,202,90,202,90,1,1
5,ventral,153,875,153,875,153,875,1,1
4,dorsal,173,157,173,157,173,157,1,1
4,ventral,170,755,170,755,170,755,1,1
3,dorsal,222,121,222,121,222,121,1,1
3,ventral,209,773,209,773,209,773,1,1
2,dorsal,191,128,191,128,191,128,1,1
2,ventral,207,829,207,829,207,829,1,1
1,dorsal,241,32,241,32,241,32,1,1
1,ventral,240,837,240,837,240,837,1,1
